startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,congestionCar_0,congestionCar_1,congestionCar_2,congestionCar_3,congestionCar_4,congestionCar_5,congestionCar_6,congestionCar_7,congestionCar_8,congestionCar_9
456,오이도역,443,금정역,448,상록수역,0,0,FRI,10,30,16,16,15,19,10,16,15,16,20.0,17.0
456,오이도역,443,금정역,448,상록수역,0,0,FRI,10,40,14,23,23,24,20,23,21,15,22.0,13.0
456,오이도역,443,금정역,448,상록수역,0,0,FRI,10,50,17,18,11,33,18,18,11,17,15.0,14.0
409,당고개역,453,안산역,447,반월역,1,0,FRI,10,00,4,7,8,8,10,14,11,6,6.0,4.0
409,당고개역,453,안산역,447,반월역,1,0,FRI,10,10,6,5,7,12,13,9,10,7,5.0,6.0
409,당고개역,453,안산역,447,반월역,1,0,FRI,10,20,6,9,10,11,15,10,12,8,4.0,5.0
409,당고개역,453,안산역,447,반월역,1,0,FRI,10,30,11,9,9,11,10,10,12,8,5.0,6.0
409,당고개역,453,안산역,447,반월역,1,0,FRI,10,40,3,10,12,23,15,15,10,6,10.0,7.0
409,당고개역,453,안산역,447,반월역,1,0,FRI,10,50,4,5,5,6,7,9,6,4,2.0,3.0
409,당고개역,456,오이도역,447,반월역,1,0,FRI,10,00,4,8,10,9,12,16,12,7,7.0,5.0
409,당고개역,456,오이도역,447,반월역,1,0,FRI,10,10,5,5,6,10,11,8,8,6,5.0,5.0
409,당고개역,456,오이도역,447,반월역,1,0,FRI,10,20,7,10,11,12,16,12,14,8,4.0,6.0
409,당고개역,456,오이도역,447,반월역,1,0,FRI,10,30,15,13,13,15,14,14,17,12,7.0,9.0
409,당고개역,456,오이도역,447,반월역,1,0,FRI,10,40,2,9,10,18,12,12,9,5,8.0,6.0
409,당고개역,456,오이도역,447,반월역,1,0,FRI,10,50,9,12,13,15,16,21,14,9,4.0,7.0
409,당고개역,456,오이도역,444,산본역,1,1,FRI,10,00,7,6,7,9,11,8,10,8,6.0,7.0
409,당고개역,456,오이도역,444,산본역,1,1,FRI,10,10,6,6,7,8,10,7,8,7,5.0,6.0
409,당고개역,456,오이도역,444,산본역,1,1,FRI,10,20,8,7,8,10,12,9,11,9,7.0,7.0
409,당고개역,456,오이도역,444,산본역,1,1,FRI,10,30,8,7,8,10,12,9,11,9,7.0,7.0
